*fondo*xbrl_ID*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*n_participaciones*n_participes*beneficio*patrimonio*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
0*1 KESSLER GLOBAL, FI*ba1a1be3-ff39-4bbb-89fc-5d90af514223*1 KESSLER CASADEVALL, FI*66247677*Trimester 3 2014*2014-07-01*2014-09-30*4720*info@gvcgaesco.es*BBB+*7 (En una escala del 1 al 7)*0.18*0.02*234433.38*10*0.0*2359878*10.0663*0.16*0.0*0.19*0.02*1.55*1.69*0.46
1*1 KESSLER GLOBAL, FI*2c2089e8-93d9-460b-b006-6672f06232dd*1 KESSLER CASADEVALL, FI*66247677*Trimester 3 2014*2014-07-01*2014-09-30*4720*info@gvcgaesco.es*BBB+*7 (En una escala del 1 al 7)*0.18*0.02*234433.38*10*0.0*2359878*10.0663*0.16*0.0*0.19*0.02*1.55*1.69*0.46
2*1 KESSLER GLOBAL, FI*1b3a975b-0fb1-492f-a6c1-4717e6b9bdec*1 KESSLER CASADEVALL, FI*66247677*Semester 1 2014*2014-01-01*2014-06-30*4720*info@gvcgaesco.es*BBB*7 (En una escala del 1 al 7)*0.0*0.12*165093.87*9*0.0*1636460*9.9123*0.23*0.0*0.23*0.03*-0.75*0.74*0.29
3*1 KESSLER GLOBAL, FI*e6935a05-87ae-45a9-a3da-4dba26728c3c*1 KESSLER CASADEVALL, FI*66247677*Trimester 1 2014*2014-01-01*2014-03-31*4720*info@gvcgaesco.es*BBB*7 (En una escala del 1 al 7)*0.0*0.0*30000.0*1*0.0*299617*9.9872*0.14*0.0*0.14*0.02*-0.13*0.03*0.4
4*1 KESSLER GLOBAL, FI*e419c248-142d-4d0d-8f1b-8d16c0c2c01f*1 KESSLER CASADEVALL, FI*66247677*Trimester 3 2015*2015-07-01*2015-09-30*4720*info@gvcgaesco.es*A-*7 (En una escala del 1 al 7)*0.2*0.0*1343791.52*105*0.0*13243796*9.8555*0.18*0.0*0.18*0.02*-3.42*7.21*0.35
5*1 KESSLER GLOBAL, FI*55e813e2-d6f5-4228-8a23-45242890f16e*1 KESSLER CASADEVALL, FI*66247677*Semester 1 2015*2015-01-01*2015-06-30*4720*info@gvcgaesco.es*BBB+*7 (En una escala del 1 al 7)*0.41*0.0*1275093.65*103*0.0*13011969*10.2047*0.35*0.0*0.35*0.04*-1.49*1.86*0.4
6*1 KESSLER GLOBAL, FI*44e38e35-92b5-4bcb-ac4a-5b3bb4c0102d*1 KESSLER CASADEVALL, FI*66247677*Trimester 1 2015*2015-01-01*2015-03-31*4720*info@gvcgaesco.es*BBB+*7 (En una escala del 1 al 7)*0.38*0.0*494323.1*21*0.0*5120592*10.3588*0.17*0.05*0.22*0.02*2.84*2.55*0.4
7*1 KESSLER GLOBAL, FI*1ea8760a-6753-4606-bd82-87e6cef3e57b*1 KESSLER CASADEVALL, FI*66247677*Semester 2 2014*2014-07-01*2014-12-31*4720*info@gvcgaesco.es*BBB+*7 (En una escala del 1 al 7)*0.09*0.01*374023.94*15*0.0*3767470*10.0728*0.35*0.07*0.42*0.04*0.06*3.34*0.47
8*1 KESSLER GLOBAL, FI*969ef75b-e8ec-47d5-983b-d748ebbe86db*1 KESSLER CASADEVALL, FI*66247677*Semester 2 2016*2016-07-01*2016-12-31*4720*info@gvcgaesco.es*A-*7 (En una escala del 1 al 7)*0.49*-0.05*844309.44*100*0.0*8394135*9.942*0.35*0.0*0.35*0.04*-0.91*0.79*0.3
9*1 KESSLER GLOBAL, FI*8e718437-e6d9-411f-8366-2ee9b259e542*1 KESSLER CASADEVALL, FI*66247677*Trimester 3 2016*2016-07-01*2016-09-30*4720*info@gvcgaesco.es*A-*7 (En una escala del 1 al 7)*0.45*0.0*1020565.79*99*0.0*10239278*10.0329*0.18*0.0*0.18*0.02*-0.32*0.86*0.26
